name,n
Krislyn,28
Egerd,15
Olivija,7
Marcela,6
Marella,11
Reeli,146
Hele-Mai,46
Ingely,6
Oscar,108
Kersten,20
Mardo,80
Karl Oskar,71
Karl-Gunnar,7
Nelja,148
Meelis,3462
Rein,5193
Marjam,20
Dorit,6
Genry,8
Kaari,118
Nadya,6
Evdokia,138
Hanna Liisa,30
Gristel,32
Natalia,4143
Kuido,222
Daisi,87
Lauren,95
Harris,15
Gerlika,6
Mairit,69
Innar,180
Kaisi,37
Airike,17
Astra,185
Gurgen,6
Noomi,7
Almer,20
Hegert,24
Risko,20
Elmer,30
Elja,41
Julius,91
Laivi,166
Annette,52
Brenda,98
Andras,13
Anri,36
Cristo,38
Eha,2490
Heleliis,8
Janett,16
Marine,17
Marietta,59
Bela,19
Kessu,16
Monica,181
Saida,22
Iryna,137
Ranet,67
Geiu,12
Irakli,19
Dagnar,10
Kille,17
Natali,156
Hannalore,9
Deana,22
Alen,37
Judit,8
Kaidu,58
Nailja,32
Maige,42
Tea,477
Vaido,227
Geelia,7
Kadre,33
Merliis,9
Käty,21
Grethen,8
Toini,23
Jako,205
Gaspar,21
Harly,20
Merilyn,256
Andrian,50
Daaniel,41
Vlada,121
Daiana,8
Silvi,1885
Rayan,36
Raja,116
Stefani,77
Pedro,13
Sebastjan,6
Apollinaria,8
Gen,22
Karl-Erik,191
Deily,26
Paulius,8
Klen,25
Elviira,238
Tarmi,7
Viire,77
Feliks,309
Anett,404
Eveliis,24
Klelia,7
Gelli,7
Arlen,7
Isabelle,21
Aline,11
Fiona,20
Ramin,14
Heitti,11
Anne,5195
Lija,66
Tetyana,33
Rohan,11
Kariina,41
Stever,26
Pia,63
Airo,26
Jarko,93
Tigran,30
Heliis,31
Tõnu,3193
Enelyn,7
Vladyslav,48
Valeriya,99
Kristjan Jaak,10
Vivian,200
Eveliin,23
Sigrit,233
Tina,24
Laura-Liisa,164
Harley,11
Laile,12
Elly,40
Liia,1148
Ehtel,31
Rosiine,7
Jarkko,12
Greg,21
Sulo,57
Livia,96
Kulno,68
Elizabet,37
Ewa,13
Bertha,19
Valmar,187
Ivo,1545
Herkki,47
Teele,666
